TransactionId,UserId,ItemId,Quantity,Value,Location,ProductCategory,year,month,date,Timestamp_
1381580,1976718,213815801,7,145,Parcel Return Service,Food,2022,1,22,2022-1-22
1381838,1976718,213818381,2,106,Washington,Health & Beauty Supplements,2022,1,22,2022-1-22
1381895,1976718,213818951,5,221,Naval Anacost Annex,Jwellary,2022,1,22,2022-1-22
1382036,1976718,213820361,2,61,Washington Navy Yard,Books,2022,1,22,2022-1-22
1382040,1976718,213820401,2,140,Parcel Return Service,Mobile Phones,2022,1,22,2022-1-22
1382055,1976718,213820551,2,46,Washington,Fashion Accessories,2022,1,22,2022-1-22
1382117,1976718,213821171,2,133,Naval Anacost Annex,Home Decor,2022,1,22,2022-1-22
1382136,1976718,213821361,2,53,Washington Navy Yard,Kitchen & Home Appliances,2022,1,22,2022-1-22
1382149,1976718,213821491,2,38,Parcel Return Service,Toys & Games,2022,1,22,2022-1-22
1382241,1976718,213822411,2,70,Washington,Apparels,2022,1,22,2022-1-22
1382347,1976718,213823471,7,145,Naval Anacost Annex,Consumer Electronics,2022,1,22,2022-1-22
1382373,1976718,213823731,2,41,Washington Navy Yard,Footwear,2022,1,22,2022-1-22
1382473,1976718,213824731,2,95,Parcel Return Service,Food,2022,1,22,2022-1-22
1382522,1976718,213825221,2,460,Washington,Health & Beauty Supplements,2022,1,22,2022-1-22
1382592,1976718,213825921,2,39,Naval Anacost Annex,Jwellary,2022,1,22,2022-1-22
1382805,1976718,213828051,2,220,Washington Navy Yard,Books,2022,1,22,2022-1-22
1382915,1976718,213829151,2,41,Parcel Return Service,Mobile Phones,2022,1,22,2022-1-22
1382928,1976718,213829281,2,426,Washington,Fashion Accessories,2022,1,22,2022-1-22
1383121,1976718,213831211,3,91,Naval Anacost Annex,Home Decor,2022,1,22,2022-1-22
1383190,1976718,213831901,2,129,Washington Navy Yard,Kitchen & Home Appliances,2022,1,22,2022-1-22
1383421,1976718,213834211,2,79,Parcel Return Service,Toys & Games,2022,1,22,2022-1-22
1383456,1976718,213834561,2,55,Washington,Apparels,2022,1,22,2022-1-22
1383601,1976718,213836011,2,210,Naval Anacost Annex,Consumer Electronics,2022,1,22,2022-1-22
1383722,1976718,213837221,2,106,Washington Navy Yard,Footwear,2022,1,22,2022-1-22
960214,768536,29602141,5,397,Moody,Apparels,2021,11,20,2021-11-20
1158422,768536,211584221,2,120,Adamsville,Consumer Electronics,2021,12,17,2021-12-17
1158724,768536,211587241,2,40,Adger,Footwear,2021,12,17,2021-12-17
1158940,768536,211589401,2,39,Alabaster,Apparels,2021,12,17,2021-12-17
1158949,768536,211589491,2,31,Alexander City,Consumer Electronics,2021,12,17,2021-12-17
1159849,768536,211598491,2,64,Allgood,Footwear,2021,12,17,2021-12-17
1160081,768536,211600811,2,70,Alpine,Apparels,2021,12,17,2021-12-17
1225305,768536,212253051,2,271,Alton,Consumer Electronics,2022,1,14,2022-1-14
1225659,768536,212256591,2,116,Arab,Footwear,2022,1,14,2022-1-14
1225868,768536,212258681,2,426,Baileyton,Apparels,2022,1,14,2022-1-14
1226452,768536,212264521,3,191,Bessemer,Consumer Electronics,2022,1,14,2022-1-14
1579955,768536,215799551,2,46,Blountsville,Footwear,2022,2,21,2022-2-21
1581358,768536,215813581,5,437,Bon Air,Apparels,2022,2,21,2022-2-21
1627731,768536,216277311,2,25,Bremen,Consumer Electronics,2022,2,28,2022-2-28
1151504,1895118,211515041,3,179,Fleming Island,Apparels,2021,12,16,2021-12-16
1151861,1895118,211518611,2,39,Ponte Vedra Beach,Consumer Electronics,2021,12,16,2021-12-16
1152180,1895118,211521801,2,24,Bostwick,Footwear,2021,12,16,2021-12-16
1152514,1895118,211525141,2,23,Branford,Food,2021,12,16,2021-12-16
1152759,1895118,211527591,2,98,Bryceville,Health & Beauty Supplements,2021,12,16,2021-12-16
1153146,1895118,211531461,2,23,Callahan,Jwellary,2021,12,16,2021-12-16
1153210,1895118,211532101,2,49,Day,Books,2021,12,16,2021-12-16
1153433,1895118,211534331,2,33,Lake City,Mobile Phones,2021,12,16,2021-12-16
1153655,1895118,211536551,2,23,Raiford,Fashion Accessories,2021,12,16,2021-12-16
1153876,1895118,211538761,2,50,Doctors Inlet,Home Decor,2021,12,16,2021-12-16
1154642,1895118,211546421,2,36,Elkton,Apparels,2021,12,16,2021-12-16
1154806,1895118,211548061,3,171,Fernandina Beach,Consumer Electronics,2021,12,16,2021-12-16
1155928,1895118,211559281,2,85,Fort White,Footwear,2021,12,16,2021-12-16
1155939,1895118,211559391,2,23,Glen Saint Mary,Food,2021,12,16,2021-12-16
1155953,1895118,211559531,2,230,Yulee,Health & Beauty Supplements,2021,12,16,2021-12-16
1486208,1895118,214862081,2,63,Graham,Jwellary,2022,2,5,2022-2-5
1486542,1895118,214865421,2,85,Green Cove Springs,Books,2022,2,5,2022-2-5
1487706,1895118,214877061,2,83,Hampton,Mobile Phones,2022,2,5,2022-2-5
1487820,1895118,214878201,2,26,Hilliard,Fashion Accessories,2022,2,5,2022-2-5
1487911,1895118,214879111,2,26,Middleburg,Home Decor,2022,2,5,2022-2-5
1487919,1895118,214879191,2,66,Jasper,Apparels,2022,2,5,2022-2-5
1487969,1895118,214879691,2,87,Jennings,Consumer Electronics,2022,2,5,2022-2-5
1488001,1895118,214880011,2,46,Lake Butler,Footwear,2022,2,5,2022-2-5
1488092,1895118,214880921,2,60,Lawtey,Food,2022,2,5,2022-2-5
1488184,1895118,214881841,2,130,Lee,Health & Beauty Supplements,2022,2,5,2022-2-5
1488342,1895118,214883421,2,66,Live Oak,Jwellary,2022,2,5,2022-2-5
1488475,1895118,214884751,2,54,Lulu,Books,2022,2,5,2022-2-5
1488580,1895118,214885801,2,22,Mc Alpin,Mobile Phones,2022,2,5,2022-2-5
1488905,1895118,214889051,4,55,Macclenny,Fashion Accessories,2022,2,5,2022-2-5
1489170,1895118,214891701,2,39,Orange Park,Home Decor,2022,2,5,2022-2-5
1489281,1895118,214892811,2,50,Mayo,Apparels,2022,2,5,2022-2-5
1489289,1895118,214892891,3,99,O Brien,Consumer Electronics,2022,2,5,2022-2-5
1489536,1895118,214895361,2,30,Olustee,Footwear,2022,2,5,2022-2-5
1489757,1895118,214897571,3,19,Penney Farms,Food,2022,2,5,2022-2-5
1490332,1895118,214903321,2,65,Saint Augustine,Health & Beauty Supplements,2022,2,5,2022-2-5
1173703,1587808,211737031,3,151,Berwick,Apparels,2021,12,18,2021-12-18
1211578,1587808,212115781,3,125,Cape Neddick,Consumer Electronics,2021,12,31,2021-12-31
1377282,1587808,213772821,2,57,Eliot,Footwear,2022,1,22,2022-1-22
1377815,1587808,213778151,4,64,Kittery,Food,2022,1,22,2022-1-22
1377925,1587808,213779251,2,120,Kittery Point,Apparels,2022,1,22,2022-1-22
1377938,1587808,213779381,6,199,North Berwick,Consumer Electronics,2022,1,22,2022-1-22
1378478,1587808,213784781,13,263,Ogunquit,Footwear,2022,1,22,2022-1-22
1378986,1587808,213789861,4,121,South Berwick,Food,2022,1,22,2022-1-22
1379567,1587808,213795671,6,201,York,Apparels,2022,1,22,2022-1-22
1391604,1587808,213916041,2,25,York Beach,Consumer Electronics,2022,1,23,2022-1-23
1392766,1587808,213927661,2,79,York Harbor,Footwear,2022,1,23,2022-1-23
1393240,1587808,213932401,4,54,Acton,Food,2022,1,23,2022-1-23
1393310,1587808,213933101,4,277,Alfred,Apparels,2022,1,23,2022-1-23
1393414,1587808,213934141,3,77,Bailey Island,Consumer Electronics,2022,1,23,2022-1-23
1394385,1587808,213943851,4,52,Bar Mills,Footwear,2022,1,23,2022-1-23
1395287,1587808,213952871,3,81,Biddeford,Food,2022,1,23,2022-1-23
1395292,1587808,213952921,3,54,Biddeford Pool,Apparels,2022,1,23,2022-1-23
1395484,1587808,213954841,2,29,Bowdoinham,Consumer Electronics,2022,1,23,2022-1-23
1395916,1587808,213959161,2,38,Bridgton,Footwear,2022,1,23,2022-1-23
1395984,1587808,213959841,2,76,Brownfield,Food,2022,1,23,2022-1-23
1533445,1587808,215334451,2,460,Brunswick,Apparels,2022,2,15,2022-2-15
1533685,1587808,215336851,2,140,Bustins Island,Consumer Electronics,2022,2,15,2022-2-15
1535117,1587808,215351171,2,620,Cape Porpoise,Footwear,2022,2,15,2022-2-15
1535277,1587808,215352771,2,136,Casco,Food,2022,2,15,2022-2-15
1587665,1587808,215876651,5,77,Center Lovell,Apparels,2022,2,23,2022-2-23
1587999,1587808,215879991,5,53,Chebeague Island,Consumer Electronics,2022,2,23,2022-2-23
1588634,1587808,215886341,3,123,Cliff Island,Footwear,2022,2,23,2022-2-23
1588818,1587808,215888181,3,171,Cornish,Food,2022,2,23,2022-2-23
1589269,1587808,215892691,4,898,Cumberland Center,Apparels,2022,2,23,2022-2-23
1589385,1587808,215893851,3,173,Denmark,Consumer Electronics,2022,2,23,2022-2-23
858775,1853101,28587751,2,33,Washington,Apparels,2021,11,6,2021-11-6
858879,1853101,28588791,2,169,Naval Anacost Annex,Consumer Electronics,2021,11,6,2021-11-6
859775,1853101,28597751,2,33,Washington Navy Yard,Footwear,2021,11,6,2021-11-6
860144,1853101,28601441,2,30,Parcel Return Service,Food,2021,11,6,2021-11-6
860300,1853101,28603001,2,180,Washington,Health & Beauty Supplements,2021,11,6,2021-11-6
968380,2158359,29683801,2,380,Los Angeles,Apparels,2021,11,22,2021-11-22
968381,2158359,29683811,2,26,West Hollywood,Consumer Electronics,2021,11,22,2021-11-22
968706,2158359,29687061,2,63,Dodgertown,Footwear,2021,11,22,2021-11-22
969578,2158359,29695781,2,49,Playa Vista,Food,2021,11,22,2021-11-22
969793,2158359,29697931,2,93,Bell Gardens,Health & Beauty Supplements,2021,11,22,2021-11-22
831081,1950893,28310811,3,49,Fleming Island,Apparels,2021,11,3,2021-11-3
831503,1950893,28315031,2,17,Ponte Vedra Beach,Consumer Electronics,2021,11,3,2021-11-3
831516,1950893,28315161,2,29,Bostwick,Footwear,2021,11,3,2021-11-3
831835,1950893,28318351,4,76,Branford,Food,2021,11,3,2021-11-3
831849,1950893,28318491,2,125,Bryceville,Health & Beauty Supplements,2021,11,3,2021-11-3
831943,1950893,28319431,4,466,Callahan,Jwellary,2021,11,3,2021-11-3
832052,1950893,28320521,2,76,Day,Books,2021,11,3,2021-11-3
832286,1950893,28322861,3,159,Lake City,Mobile Phones,2021,11,3,2021-11-3
832296,1950893,28322961,3,779,Raiford,Fashion Accessories,2021,11,3,2021-11-3
832315,1950893,28323151,4,358,Doctors Inlet,Home Decor,2021,11,3,2021-11-3
832401,1950893,28324011,2,76,Elkton,Apparels,2021,11,3,2021-11-3
832490,1950893,28324901,2,186,Fernandina Beach,Consumer Electronics,2021,11,3,2021-11-3
832497,1950893,28324971,3,101,Fort White,Footwear,2021,11,3,2021-11-3
832598,1950893,28325981,3,157,Glen Saint Mary,Food,2021,11,3,2021-11-3
1241990,1950893,212419901,2,82,Yulee,Health & Beauty Supplements,2022,1,16,2022-1-16
1243682,1950893,212436821,2,95,Graham,Jwellary,2022,1,13,2022-1-13
1243716,1950893,212437161,2,63,Green Cove Springs,Books,2022,1,16,2022-1-16
1243778,1950893,212437781,2,72,Hampton,Mobile Phones,2022,1,13,2022-1-13
1243985,1950893,212439851,2,57,Hilliard,Fashion Accessories,2022,1,13,2022-1-13
1244334,1950893,212443341,2,63,Middleburg,Home Decor,2022,1,13,2022-1-13
1244554,1950893,212445541,2,50,Jasper,Apparels,2022,1,13,2022-1-13
1244887,1950893,212448871,2,95,Jennings,Consumer Electronics,2022,1,13,2022-1-13
1244915,1950893,212449151,2,114,Lake Butler,Footwear,2022,1,13,2022-1-13
1245023,1950893,212450231,2,91,Lawtey,Food,2022,1,13,2022-1-13
1245335,1950893,212453351,2,177,Lee,Health & Beauty Supplements,2022,1,16,2022-1-16
1245542,1950893,212455421,2,63,Live Oak,Jwellary,2022,1,13,2022-1-13
1245573,1950893,212455731,2,26,Lulu,Books,2022,1,13,2022-1-13
1245635,1950893,212456351,2,253,Mc Alpin,Mobile Phones,2022,1,13,2022-1-13
1245640,1950893,212456401,2,266,Macclenny,Fashion Accessories,2022,1,13,2022-1-13
1245700,1950893,212457001,2,63,Orange Park,Home Decor,2022,1,13,2022-1-13
1245792,1950893,212457921,2,65,Mayo,Apparels,2022,1,16,2022-1-16
1245886,1950893,212458861,2,101,O Brien,Consumer Electronics,2022,1,13,2022-1-13
1246111,1950893,212461111,2,50,Olustee,Footwear,2022,1,13,2022-1-13
1246245,1950893,212462451,3,161,Penney Farms,Food,2022,1,13,2022-1-13
1246327,1950893,212463271,2,57,Saint Augustine,Health & Beauty Supplements,2022,1,13,2022-1-13
1246782,1950893,212467821,2,63,Ponte Vedra,Jwellary,2022,1,13,2022-1-13
1246787,1950893,212467871,2,285,Sanderson,Books,2022,1,13,2022-1-13
1246921,1950893,212469211,2,56,Starke,Mobile Phones,2022,1,13,2022-1-13
1249593,1950893,212495931,2,665,Wellborn,Fashion Accessories,2022,1,16,2022-1-16
1273025,1950893,212730251,2,95,White Springs,Home Decor,2022,1,8,2022-1-8
1273247,1950893,212732471,2,72,Jacksonville,Apparels,2022,1,8,2022-1-8
1273358,1950893,212733581,2,152,Astor,Consumer Electronics,2022,1,8,2022-1-8
1273722,1950893,212737221,2,133,Barberville,Footwear,2022,1,8,2022-1-8
1273942,1950893,212739421,2,91,Bunnell,Food,2022,1,8,2022-1-8
1274049,1950893,212740491,4,289,Candler,Health & Beauty Supplements,2022,1,8,2022-1-8
1274509,1950893,212745091,2,76,Crescent City,Jwellary,2022,1,8,2022-1-8
1274847,1950893,212748471,2,38,Citra,Books,2022,1,8,2022-1-8
1275062,1950893,212750621,2,48,Daytona Beach,Mobile Phones,2022,1,8,2022-1-8
1275534,1950893,212755341,3,569,Port Orange,Fashion Accessories,2022,1,8,2022-1-8
1275863,1950893,212758631,2,95,De Leon Springs,Home Decor,2022,1,8,2022-1-8
1276331,1950893,212763311,2,63,East Palatka,Apparels,2022,1,8,2022-1-8
1298685,1950893,212986851,2,171,Edgewater,Consumer Electronics,2022,1,1,2022-1-1
1300027,1950893,213000271,2,27,Eastlake Weir,Footwear,2022,1,1,2022-1-1
1300106,1950893,213001061,3,208,Fort Mc Coy,Food,2022,1,1,2022-1-1
1432328,1950893,214323281,3,279,Palm Coast,Health & Beauty Supplements,2022,1,31,2022-1-31
1432435,1950893,214324351,3,57,Flagler Beach,Jwellary,2022,1,31,2022-1-31
1432738,1950893,214327381,2,49,Grandin,Books,2022,1,31,2022-1-31
1432754,1950893,214327541,2,29,Georgetown,Mobile Phones,2022,1,31,2022-1-31
1432881,1950893,214328811,2,86,Florahome,Fashion Accessories,2022,1,31,2022-1-31
1433118,1950893,214331181,2,101,Hastings,Home Decor,2022,1,31,2022-1-31
1433217,1950893,214332171,3,49,Hollister,Apparels,2022,1,31,2022-1-31
1433624,1950893,214336241,2,64,Interlachen,Consumer Electronics,2022,1,31,2022-1-31
1434200,1950893,214342001,3,37,Edgar,Footwear,2022,1,31,2022-1-31
1434577,1950893,214345771,2,182,Lake Como,Food,2022,1,31,2022-1-31
1435325,1950893,214353251,3,163,Lady Lake,Health & Beauty Supplements,2022,1,31,2022-1-31
1557391,1950893,215573911,3,679,Lake Geneva,Jwellary,2022,2,18,2022-2-18
1558020,1950893,215580201,2,26,The Villages,Books,2022,2,18,2022-2-18
1558133,1950893,215581331,2,100,New Smyrna Beach,Mobile Phones,2022,2,18,2022-2-18
1558277,1950893,215582771,2,43,Ormond Beach,Fashion Accessories,2022,2,18,2022-2-18
1558482,1950893,215584821,2,160,Palatka,Home Decor,2022,2,18,2022-2-18
1558537,1950893,215585371,2,70,Ocklawaha,Apparels,2022,2,18,2022-2-18
1558986,1950893,215589861,2,93,Pierson,Consumer Electronics,2022,2,18,2022-2-18
1559034,1950893,215590341,3,305,Pomona Park,Footwear,2022,2,18,2022-2-18
1559087,1950893,215590871,3,31,Orange Springs,Food,2022,2,18,2022-2-18
1559339,1950893,215593391,2,26,Putnam Hall,Health & Beauty Supplements,2022,2,18,2022-2-18
1559348,1950893,215593481,2,116,San Mateo,Jwellary,2022,2,18,2022-2-18
1559544,1950893,215595441,2,69,Satsuma,Books,2022,2,18,2022-2-18
1559658,1950893,215596581,2,66,Seville,Mobile Phones,2022,2,18,2022-2-18
1559703,1950893,215597031,2,76,Sparr,Fashion Accessories,2022,2,18,2022-2-18
1559728,1950893,215597281,4,46,Welaka,Home Decor,2022,2,18,2022-2-18
1629284,1950893,216292841,2,89,Weirsdale,Apparels,2022,2,28,2022-2-28
1629914,1950893,216299141,2,191,Atlantic Beach,Consumer Electronics,2022,2,28,2022-2-28
1630028,1950893,216300281,2,160,Jacksonville Beach,Footwear,2022,2,28,2022-2-28
1630274,1950893,216302741,2,266,Saint Johns,Food,2022,2,28,2022-2-28
1631002,1950893,216310021,2,160,Neptune Beach,Health & Beauty Supplements,2022,2,28,2022-2-28
1631109,1950893,216311091,2,29,Tallahassee,Jwellary,2022,2,28,2022-2-28
1631139,1950893,216311391,2,430,Apalachicola,Books,2022,2,28,2022-2-28
1631586,1950893,216315861,2,140,Bristol,Mobile Phones,2022,2,28,2022-2-28
1631797,1950893,216317971,2,76,Carrabelle,Fashion Accessories,2022,2,28,2022-2-28
1631821,1950893,216318211,2,120,Lanark Village,Home Decor,2022,2,28,2022-2-28
1633329,1950893,216333291,2,340,Chattahoochee,Apparels,2022,2,28,2022-2-28
