Month,Location,Budget,CPA,APPT.created,Conversion.ran,APPT.ran,Conversion.close,Orders,Average.ticket,Sales
8/1/2015,ALBUQUERQUE,25219,345,73,1,85,0,32,4689,150045
9/1/2015,ALBUQUERQUE,20683,246,84,1,59,0,18,7214,129853
10/1/2015,ALBUQUERQUE,23440,209,112,1,117,0,26,6726,174869
11/1/2015,ALBUQUERQUE,23555,346,68,1,82,0,27,5887,158960
12/1/2015,ALBUQUERQUE,1464,25,58,1,61,0,24,5850,140401
1/1/2016,ALBUQUERQUE,27495,312,88,1,93,0,23,5546,127548
2/1/2016,ALBUQUERQUE,28112,287,98,1,77,0,24,4625,110989
3/1/2016,ALBUQUERQUE,20899,246,85,1,107,0,29,9213,267169
4/1/2016,ALBUQUERQUE,42545,473,90,1,89,0,27,7519,203010
5/1/2016,ALBUQUERQUE,24631,368,67,1,67,0,22,5608,123386
6/1/2016,ALBUQUERQUE,28281,295,96,1,96,0,31,6906,214077
7/1/2016,ALBUQUERQUE,36227,342,106,1,103,0,27,7595,205070
8/1/2016,ALBUQUERQUE,32801,482,68,1,74,1,39,5765,224836
9/1/2016,ALBUQUERQUE,29549,276,107,1,98,0,34,6677,227004
10/1/2016,ALBUQUERQUE,40316,380,106,1,122,0,35,6376,223152
11/1/2016,ALBUQUERQUE,13562,301,45,1,48,0,17,6473,110046
12/1/2016,ALBUQUERQUE,6728,187,36,1,36,1,18,9047,162846
1/1/2015,ATLANTA,90268,386,234,1,230,0,64,7655,489888
2/1/2015,ATLANTA,132181,457,289,1,269,0,82,11791,966897
3/1/2015,ATLANTA,181509,469,387,1,342,0,85,10042,853601
4/1/2015,ATLANTA,203672,484,421,1,466,0,139,10569,1469099
5/1/2015,ATLANTA,157662,497,317,1,311,0,92,10926,1005159
6/1/2015,ATLANTA,89080,376,237,1,261,0,70,12276,859335
7/1/2015,ATLANTA,168918,392,431,1,361,0,95,9707,922154
8/1/2015,ATLANTA,163219,455,359,1,368,0,77,9411,724651
9/1/2015,ATLANTA,191939,510,376,1,387,0,89,10316,918135
10/1/2015,ATLANTA,140214,284,493,1,476,0,100,9319,931882
11/1/2015,ATLANTA,71980,268,269,1,316,0,81,10276,832389
12/1/2015,ATLANTA,48481,242,200,1,203,0,68,11206,761982
1/1/2016,ATLANTA,111258,328,339,1,312,0,95,9440,896842
2/1/2016,ATLANTA,145829,456,320,1,330,0,84,11716,984157
3/1/2016,ATLANTA,206370,474,435,1,365,0,98,9552,936104
4/1/2016,ATLANTA,287968,567,508,1,524,0,174,10665,1855658
5/1/2016,ATLANTA,198605,582,341,1,364,0,116,11783,1366864
6/1/2016,ATLANTA,111998,366,306,1,334,0,112,10215,1144052
7/1/2016,ATLANTA,154893,441,351,1,353,0,118,9725,1147567
8/1/2016,ATLANTA,177768,526,338,1,336,0,116,8933,1036190
9/1/2016,ATLANTA,208070,565,368,1,343,0,118,10694,1261886
10/1/2016,ATLANTA,169249,404,419,1,453,0,143,11032,1577513
11/1/2016,ATLANTA,98188,404,243,1,258,0,80,9332,746544
12/1/2016,ATLANTA,81213,492,165,1,175,0,64,9671,618925
1/1/2015,AUSTIN,34158,474,72,1,55,0,21,8230,172829
2/1/2015,AUSTIN,39994,588,68,1,75,0,17,11481,195176
3/1/2015,AUSTIN,50850,598,85,1,85,0,18,8016,144286
4/1/2015,AUSTIN,54848,442,124,1,130,0,26,9687,251857
5/1/2015,AUSTIN,52615,566,93,1,97,0,37,10804,399759
6/1/2015,AUSTIN,36310,382,95,1,98,0,40,9359,374375
7/1/2015,AUSTIN,23758,270,88,1,89,0,23,11411,262460
8/1/2015,AUSTIN,27796,339,82,1,59,0,22,9451,207928
9/1/2015,AUSTIN,19801,330,60,1,83,0,16,11457,183308
10/1/2015,AUSTIN,20949,252,83,1,80,0,30,9800,294011
11/1/2015,AUSTIN,5159,115,45,1,43,0,9,10080,90721
12/1/2015,AUSTIN,4361,115,38,1,37,0,14,4850,67902
1/1/2016,AUSTIN,45413,309,147,1,121,0,37,9397,347697
2/1/2016,AUSTIN,40409,518,78,1,83,0,18,9679,174225
3/1/2016,AUSTIN,26775,348,77,1,74,0,22,10722,235891
4/1/2016,AUSTIN,27911,698,40,2,68,0,14,6963,97486
5/1/2016,AUSTIN,23509,871,27,1,27,0,5,9441,47204
6/1/2016,AUSTIN,13315,277,48,1,50,0,18,8046,144827
7/1/2016,AUSTIN,39679,661,60,1,50,0,3,5755,17265
8/1/2016,AUSTIN,41143,502,82,1,60,0,8,9435,75479
9/1/2016,AUSTIN,14632,244,60,1,77,0,13,9053,117684
10/1/2016,AUSTIN,25736,613,42,1,56,0,17,8239,140061
11/1/2016,AUSTIN,22067,649,34,1,34,0,10,9159,91587
12/1/2016,AUSTIN,18889,525,36,1,36,0,10,10340,103401
1/1/2015,BALTIMORE,21281,195,109,1,111,0,29,6477,187821
2/1/2015,BALTIMORE,45036,289,156,1,145,0,67,5525,370196
3/1/2015,BALTIMORE,95365,574,166,1,170,0,41,6958,285268
4/1/2015,BALTIMORE,105293,540,195,1,200,0,68,8455,574927
5/1/2015,BALTIMORE,99289,704,141,1,145,0,38,7564,287427
6/1/2015,BALTIMORE,78461,490,160,1,153,0,49,9901,485154
7/1/2015,BALTIMORE,64126,304,211,1,212,0,71,9220,654649
8/1/2015,BALTIMORE,72759,543,134,1,137,0,38,11201,425644
9/1/2015,BALTIMORE,64901,515,126,1,134,0,34,6863,233348
10/1/2015,BALTIMORE,75885,372,204,1,200,0,80,8671,693674
11/1/2015,BALTIMORE,29304,274,107,1,123,0,43,9952,427926
12/1/2015,BALTIMORE,15831,323,49,1,45,1,23,9669,222380
1/1/2016,BALTIMORE,75478,770,98,1,95,0,36,10852,390663
2/1/2016,BALTIMORE,102900,774,133,1,132,0,53,8891,471222
3/1/2016,BALTIMORE,100529,476,211,1,189,0,59,8509,502025
4/1/2016,BALTIMORE,123637,540,229,1,241,0,92,10340,951295
5/1/2016,BALTIMORE,91127,735,124,1,130,0,42,5528,232179
6/1/2016,BALTIMORE,67644,380,178,1,171,0,65,8407,546452
7/1/2016,BALTIMORE,110786,659,168,1,169,0,55,8665,476559
8/1/2016,BALTIMORE,92087,808,114,1,116,0,35,6325,221361
9/1/2016,BALTIMORE,73489,750,98,1,107,0,37,7707,285170
10/1/2016,BALTIMORE,80823,502,161,1,159,0,40,6984,279363
11/1/2016,BALTIMORE,47216,613,77,1,82,0,35,8331,291588
12/1/2016,BALTIMORE,38632,613,63,1,77,0,29,8173,237005
1/1/2015,BIRMINGHAM,31914,319,100,1,84,0,17,6795,115516
2/1/2015,BIRMINGHAM,50268,393,128,1,117,0,28,10407,291404
3/1/2015,BIRMINGHAM,58357,400,146,1,141,0,44,12016,528704
4/1/2015,BIRMINGHAM,56352,389,145,1,172,0,47,13166,618815
5/1/2015,BIRMINGHAM,33744,334,101,1,90,0,29,10194,295629
6/1/2015,BIRMINGHAM,40322,438,92,1,102,0,33,8659,285751
7/1/2015,BIRMINGHAM,46942,307,153,1,137,0,36,10104,363749
8/1/2015,BIRMINGHAM,37895,301,126,1,138,0,39,13095,510710
9/1/2015,BIRMINGHAM,36917,316,117,1,114,0,29,11710,339588
10/1/2015,BIRMINGHAM,39502,350,113,1,122,0,34,11003,374112
11/1/2015,BIRMINGHAM,27984,337,83,1,79,0,29,9997,289910
12/1/2015,BIRMINGHAM,11293,230,49,1,56,0,26,11203,291282
1/1/2016,BIRMINGHAM,34079,291,117,1,107,0,22,13576,298662
2/1/2016,BIRMINGHAM,65554,446,147,1,103,0,34,9477,322231
3/1/2016,BIRMINGHAM,52997,414,128,1,134,0,32,12209,390676
4/1/2016,BIRMINGHAM,58370,310,188,1,188,0,59,10445,616247
5/1/2016,BIRMINGHAM,50591,383,132,1,147,0,44,9825,432307
6/1/2016,BIRMINGHAM,41841,297,141,1,135,0,63,10530,663381
7/1/2016,BIRMINGHAM,54085,423,128,1,122,0,35,10141,354930
8/1/2016,BIRMINGHAM,43467,448,97,1,129,0,43,9187,395035
9/1/2016,BIRMINGHAM,46094,384,120,1,84,0,35,12070,422455
10/1/2016,BIRMINGHAM,47528,390,122,1,140,0,48,7706,369903
11/1/2016,BIRMINGHAM,26159,402,65,1,81,0,39,9131,356111
12/1/2016,BIRMINGHAM,17551,351,50,1,57,0,27,9695,261764
1/1/2015,BOISE,15467,234,66,1,64,0,16,5170,82716
2/1/2015,BOISE,27959,218,128,1,109,0,45,7970,358667
3/1/2015,BOISE,49558,324,153,1,153,0,52,5309,276083
4/1/2015,BOISE,44148,278,159,1,163,1,84,7082,594899
5/1/2015,BOISE,39555,370,107,1,105,0,38,5639,214290
6/1/2015,BOISE,17218,178,97,1,103,0,43,5695,244878
7/1/2015,BOISE,33631,244,138,1,123,0,53,7947,421210
8/1/2015,BOISE,31506,248,127,1,97,0,42,6095,255984
9/1/2015,BOISE,27673,252,110,1,128,1,65,7032,457068
10/1/2015,BOISE,39935,283,141,1,122,0,42,6317,265329
11/1/2015,BOISE,13780,222,62,1,65,0,30,8219,246567
12/1/2015,BOISE,10764,203,53,1,56,0,24,3918,94032
1/1/2016,BOISE,17891,197,91,1,81,0,28,7497,209904
2/1/2016,BOISE,33230,229,145,1,128,0,51,5277,269112
3/1/2016,BOISE,35494,261,136,1,136,0,53,6441,341364
4/1/2016,BOISE,42384,232,183,1,170,0,70,5462,382309
5/1/2016,BOISE,29962,258,116,1,112,0,40,6050,241999
6/1/2016,BOISE,18604,179,104,1,109,1,57,5651,322121
7/1/2016,BOISE,38671,345,112,1,106,0,47,6862,322528
8/1/2016,BOISE,30221,267,113,1,122,0,37,6507,240758
9/1/2016,BOISE,26470,257,103,1,85,1,57,8088,461030
10/1/2016,BOISE,35940,292,123,1,128,0,51,5322,271429
11/1/2016,BOISE,16527,300,55,1,69,0,27,7172,193648
12/1/2016,BOISE,10743,269,40,1,41,0,18,3764,67745
1/1/2015,CHARLOTTE,38656,189,204,1,168,0,39,11361,443063
2/1/2015,CHARLOTTE,49976,232,215,1,172,0,50,10000,500006
3/1/2015,CHARLOTTE,71876,374,192,1,240,0,64,9443,604332
4/1/2015,CHARLOTTE,72399,275,263,1,282,0,76,8196,622886
5/1/2015,CHARLOTTE,68648,361,190,1,188,0,52,10403,540932
6/1/2015,CHARLOTTE,41413,262,158,1,175,0,57,8080,460576
7/1/2015,CHARLOTTE,68134,321,212,1,196,0,68,8529,579960
8/1/2015,CHARLOTTE,68621,392,175,1,182,0,65,8582,557838
9/1/2015,CHARLOTTE,67557,361,187,1,191,0,49,10534,516161
10/1/2015,CHARLOTTE,67186,318,211,1,212,0,68,9184,624509
11/1/2015,CHARLOTTE,30369,247,123,1,132,0,38,6882,261512
12/1/2015,CHARLOTTE,16409,151,109,1,105,0,38,7785,295843
1/1/2016,CHARLOTTE,47404,241,197,1,188,0,43,12430,534478
2/1/2016,CHARLOTTE,73128,311,235,1,183,0,55,11428,628537
3/1/2016,CHARLOTTE,69220,305,227,1,263,0,74,9120,674902
4/1/2016,CHARLOTTE,91145,334,273,1,280,0,77,11097,854451
5/1/2016,CHARLOTTE,65460,372,176,1,181,0,50,11954,597720
6/1/2016,CHARLOTTE,60265,410,147,1,155,0,37,10410,385156
7/1/2016,CHARLOTTE,90185,440,205,1,198,0,56,14376,805029
8/1/2016,CHARLOTTE,51769,330,157,1,154,0,48,9320,447365
9/1/2016,CHARLOTTE,85819,514,167,1,169,0,48,10185,488888
10/1/2016,CHARLOTTE,58831,265,222,1,228,0,84,9784,821839
11/1/2016,CHARLOTTE,34679,296,117,1,131,0,43,8252,354830
12/1/2016,CHARLOTTE,22626,283,80,1,78,0,29,9947,288464
1/1/2015,CHATTANOOGA,15334,199,77,1,71,0,22,9361,205949
2/1/2015,CHATTANOOGA,27645,321,86,1,84,0,32,6272,200709
3/1/2015,CHATTANOOGA,62837,291,216,1,169,0,42,8098,340120
4/1/2015,CHATTANOOGA,35850,228,157,1,207,0,81,6600,534594
5/1/2015,CHATTANOOGA,39314,330,119,1,116,0,48,9402,451286
6/1/2015,CHATTANOOGA,20707,213,97,1,102,0,36,8644,311199
7/1/2015,CHATTANOOGA,31995,235,136,1,130,0,44,7897,347471
8/1/2015,CHATTANOOGA,28304,255,111,1,118,0,38,8941,339749
9/1/2015,CHATTANOOGA,30092,257,117,1,119,0,35,9234,323201
10/1/2015,CHATTANOOGA,29767,210,142,1,138,0,46,9404,432606
11/1/2015,CHATTANOOGA,21264,250,85,1,89,0,26,8020,208529
12/1/2015,CHATTANOOGA,14572,243,60,1,63,0,18,6333,114002
1/1/2016,CHATTANOOGA,11091,103,108,1,99,0,21,11260,236456
2/1/2016,CHATTANOOGA,45294,214,212,1,143,0,52,8206,426723
3/1/2016,CHATTANOOGA,27447,257,107,2,165,0,53,7221,382708
4/1/2016,CHATTANOOGA,35767,214,167,1,179,0,50,7433,371653
5/1/2016,CHATTANOOGA,27414,247,111,1,116,0,32,13636,436359
6/1/2016,CHATTANOOGA,30264,236,128,1,117,0,44,8029,353262
7/1/2016,CHATTANOOGA,31960,326,98,1,112,0,52,7605,395464
8/1/2016,CHATTANOOGA,40255,335,120,1,103,0,35,10396,363868
9/1/2016,CHATTANOOGA,37237,310,120,1,121,0,25,8274,206838
10/1/2016,CHATTANOOGA,41576,289,144,1,146,0,50,7372,368617
11/1/2016,CHATTANOOGA,23488,297,79,1,87,0,26,6022,156575
12/1/2016,CHATTANOOGA,17509,357,49,1,52,0,12,9435,113214
1/1/2015,CHICAGO,32797,247,133,1,120,0,39,5526,215533
2/1/2015,CHICAGO,85079,612,139,1,138,0,34,7649,260058
3/1/2015,CHICAGO,120450,458,263,1,242,0,66,6525,430669
4/1/2015,CHICAGO,143329,322,445,1,436,0,137,7219,989015
5/1/2015,CHICAGO,100636,297,339,1,335,0,87,6535,568587
6/1/2015,CHICAGO,72320,241,300,1,327,0,64,8403,537808
7/1/2015,CHICAGO,118146,264,447,1,422,0,86,7579,651789
8/1/2015,CHICAGO,90430,233,388,1,379,0,96,8068,774505
9/1/2015,CHICAGO,86788,283,307,1,312,0,76,9082,690207
10/1/2015,CHICAGO,99265,268,371,1,393,0,98,7113,697102
11/1/2015,CHICAGO,65252,357,183,1,208,0,61,6201,378287
12/1/2015,CHICAGO,74711,1038,72,1,70,0,23,5312,122177
1/1/2016,CHICAGO,84305,463,182,1,151,0,41,7646,313506
2/1/2016,CHICAGO,75917,345,220,1,222,0,48,8314,399073
3/1/2016,CHICAGO,86615,287,302,1,278,0,72,7006,504415
4/1/2016,CHICAGO,162352,436,372,1,387,0,113,8999,1016882
5/1/2016,CHICAGO,125164,489,256,1,250,0,77,8640,665307
6/1/2016,CHICAGO,118306,477,248,1,267,0,93,7544,701583
7/1/2016,CHICAGO,157721,514,307,1,312,0,83,7114,590470
8/1/2016,CHICAGO,103594,425,244,1,235,0,81,6252,506430
9/1/2016,CHICAGO,129809,424,306,1,298,0,77,6795,523183
10/1/2016,CHICAGO,139435,496,281,1,292,0,71,7164,508662
11/1/2016,CHICAGO,62797,546,115,1,133,0,41,5960,244377
12/1/2016,CHICAGO,44573,810,55,1,54,0,20,7688,153768
1/1/2015,CINCINNATI,72503,208,348,1,333,0,148,7400,1095212
2/1/2015,CINCINNATI,159743,435,367,1,301,0,133,7513,999268
3/1/2015,CINCINNATI,232092,384,604,1,617,0,256,8551,2189174
4/1/2015,CINCINNATI,168988,239,706,1,721,0,325,8779,2853091
5/1/2015,CINCINNATI,246131,507,485,1,515,0,227,7710,1750229
6/1/2015,CINCINNATI,159640,364,439,1,441,0,208,8572,1783055
7/1/2015,CINCINNATI,169920,294,578,1,579,0,279,7507,2094364
8/1/2015,CINCINNATI,158247,312,507,1,494,0,215,8244,1772546
9/1/2015,CINCINNATI,155099,310,501,1,506,0,238,7480,1780335
10/1/2015,CINCINNATI,171800,295,583,1,590,0,269,8169,2197364
11/1/2015,CINCINNATI,101799,300,339,1,357,1,191,6763,1291792
12/1/2015,CINCINNATI,55042,254,217,1,218,1,117,7193,841632
1/1/2016,CINCINNATI,143472,376,382,1,369,0,156,8265,1289292
2/1/2016,CINCINNATI,201533,391,516,1,405,0,192,7275,1396785
3/1/2016,CINCINNATI,213172,358,596,1,683,0,298,7534,2245028
4/1/2016,CINCINNATI,179030,279,641,1,653,0,318,8061,2563427
5/1/2016,CINCINNATI,158381,348,455,1,441,0,201,8872,1783222
6/1/2016,CINCINNATI,122684,277,443,1,454,1,226,8982,2029964
7/1/2016,CINCINNATI,174317,356,489,1,503,0,233,7461,1738464
8/1/2016,CINCINNATI,127357,303,421,1,404,0,183,9506,1739655
9/1/2016,CINCINNATI,172922,372,465,1,459,0,227,7573,1719007
10/1/2016,CINCINNATI,194250,336,578,1,587,0,253,7206,1823052
11/1/2016,CINCINNATI,144662,511,283,1,308,0,150,6791,1018638
12/1/2016,CINCINNATI,56355,381,148,1,160,1,83,7818,648920
1/1/2015,CLEVELAND,41340,409,101,1,98,0,27,8861,239241
2/1/2015,CLEVELAND,34799,288,121,1,121,0,43,7107,305587
3/1/2015,CLEVELAND,64743,247,262,1,239,0,69,7425,512347
4/1/2015,CLEVELAND,59413,146,406,1,402,0,123,7911,973100
5/1/2015,CLEVELAND,65722,278,236,1,260,0,87,8038,699328
6/1/2015,CLEVELAND,37271,144,259,1,260,0,84,7235,607723
7/1/2015,CLEVELAND,42878,123,350,1,338,0,119,5554,660884
8/1/2015,CLEVELAND,42880,167,257,1,259,0,79,6221,491454
9/1/2015,CLEVELAND,41109,152,271,1,273,0,103,6499,669356
10/1/2015,CLEVELAND,36834,118,312,1,311,0,88,6051,532490
11/1/2015,CLEVELAND,26376,170,155,1,164,0,53,4671,247540
12/1/2015,CLEVELAND,27027,270,100,1,112,0,33,4842,159780
1/1/2016,CLEVELAND,59168,466,127,1,116,0,31,7187,222803
2/1/2016,CLEVELAND,159246,1062,150,1,142,0,45,9129,410827
3/1/2016,CLEVELAND,115873,471,246,1,232,0,68,7836,532826
4/1/2016,CLEVELAND,145965,496,294,1,304,0,91,6409,583208
5/1/2016,CLEVELAND,114042,731,156,1,173,0,56,7596,425363
6/1/2016,CLEVELAND,78096,392,199,1,198,0,72,7233,520753
7/1/2016,CLEVELAND,136293,522,261,1,256,0,72,7352,529341
8/1/2016,CLEVELAND,87397,437,200,1,202,0,84,5658,475312
9/1/2016,CLEVELAND,94647,394,240,1,222,0,66,6481,427748
10/1/2016,CLEVELAND,104504,420,249,1,263,0,82,6239,511626
11/1/2016,CLEVELAND,57357,512,112,1,124,0,36,6041,217474
12/1/2016,CLEVELAND,29790,562,53,1,53,0,18,4209,75757
1/1/2015,COLORADOSP,44867,380,118,1,103,0,21,4132,86763
2/1/2015,COLORADOSP,69663,536,130,1,114,0,39,7519,293235
3/1/2015,COLORADOSP,76545,467,164,1,165,0,36,5572,200580
4/1/2015,COLORADOSP,124583,485,257,1,247,0,88,8064,709656
5/1/2015,COLORADOSP,85396,409,209,1,189,0,47,9839,462419
6/1/2015,COLORADOSP,74364,290,256,1,251,0,64,9337,597560
7/1/2015,COLORADOSP,96566,352,274,1,293,0,99,7036,696553
8/1/2015,COLORADOSP,67752,317,214,1,217,0,70,8767,613696
9/1/2015,COLORADOSP,72177,328,220,1,218,0,77,9291,715380
10/1/2015,COLORADOSP,65949,325,203,1,225,0,61,7407,451832
11/1/2015,COLORADOSP,40197,335,120,1,116,0,32,6387,204385
12/1/2015,COLORADOSP,21523,295,73,1,78,0,27,10021,270579
1/1/2016,COLORADOSP,47265,381,124,1,125,0,40,7974,318974
2/1/2016,COLORADOSP,73673,494,149,1,128,0,37,5596,207043
3/1/2016,COLORADOSP,57064,423,135,1,146,0,58,9653,559882
4/1/2016,COLORADOSP,85875,452,190,1,196,0,62,7098,440063
5/1/2016,COLORADOSP,64070,368,174,1,155,0,41,7841,321473
6/1/2016,COLORADOSP,60383,321,188,1,208,0,59,6211,366424
7/1/2016,COLORADOSP,93709,232,404,1,284,0,103,7641,787004
8/1/2016,COLORADOSP,75227,115,656,1,344,1,181,5855,1059797
9/1/2016,COLORADOSP,52229,145,359,1,381,0,124,5039,624874
10/1/2016,COLORADOSP,36802,147,251,2,460,0,139,5337,741833
11/1/2016,COLORADOSP,29004,232,125,2,260,0,82,5014,411107
12/1/2016,COLORADOSP,16378,193,85,2,148,0,39,5229,203915
1/1/2015,COLUMBIA,17902,147,122,1,113,0,34,8107,275626
2/1/2015,COLUMBIA,27018,221,122,1,121,0,40,7696,307854
3/1/2015,COLUMBIA,38221,260,147,1,129,0,37,7273,269104
4/1/2015,COLUMBIA,47496,281,169,1,159,0,52,9440,490854
5/1/2015,COLUMBIA,38328,339,113,1,142,0,31,9889,306544
6/1/2015,COLUMBIA,20743,194,107,1,113,0,35,12064,422230
7/1/2015,COLUMBIA,24856,181,137,1,139,0,36,11152,401456
8/1/2015,COLUMBIA,28026,217,129,1,126,0,35,10763,376705
9/1/2015,COLUMBIA,36453,299,122,1,120,0,37,9547,353238
10/1/2015,COLUMBIA,41158,211,195,1,180,0,41,10124,415066
11/1/2015,COLUMBIA,14300,98,146,1,154,0,43,12746,548073
12/1/2015,COLUMBIA,16084,148,109,1,119,0,46,8761,403005
1/1/2016,COLUMBIA,32840,184,178,1,149,0,41,7006,287231
2/1/2016,COLUMBIA,48706,275,177,1,146,0,35,13030,456041
3/1/2016,COLUMBIA,38251,216,177,1,186,0,54,10786,582469
4/1/2016,COLUMBIA,52473,237,221,1,250,0,66,11648,768785
5/1/2016,COLUMBIA,46486,327,142,1,148,0,39,11300,440716
6/1/2016,COLUMBIA,43954,285,154,1,157,0,43,14829,637645
7/1/2016,COLUMBIA,47508,244,195,1,195,0,40,12665,506584
8/1/2016,COLUMBIA,42215,280,151,1,146,0,32,9719,311004
9/1/2016,COLUMBIA,36091,262,138,1,151,0,46,12287,565216
10/1/2016,COLUMBIA,49959,215,232,1,212,0,59,9080,535702
11/1/2016,COLUMBIA,31250,313,100,1,121,0,33,9889,326324
12/1/2016,COLUMBIA,23922,342,70,1,80,0,19,7263,138006
1/1/2015,COLUMBUSOH,28594,242,118,1,87,0,20,7347,146942
2/1/2015,COLUMBUSOH,50073,302,166,1,149,0,63,7186,452711
3/1/2015,COLUMBUSOH,84789,394,215,1,198,0,54,7585,409574
4/1/2015,COLUMBUSOH,86249,352,245,1,290,0,113,8629,975022
5/1/2015,COLUMBUSOH,69031,473,146,1,152,0,70,7957,556974
6/1/2015,COLUMBUSOH,54802,389,141,1,138,0,54,6771,365650
7/1/2015,COLUMBUSOH,67651,324,209,1,188,0,67,7765,520242
8/1/2015,COLUMBUSOH,62308,350,178,1,206,0,59,7851,463234
9/1/2015,COLUMBUSOH,69640,391,178,1,163,0,62,8917,552844
10/1/2015,COLUMBUSOH,79390,384,207,1,220,0,73,7110,519001
11/1/2015,COLUMBUSOH,38502,374,103,1,109,0,43,7836,336939
12/1/2015,COLUMBUSOH,18914,291,65,1,73,0,30,4722,141645
1/1/2016,COLUMBUSOH,38819,283,137,1,127,0,33,6404,211341
2/1/2016,COLUMBUSOH,34699,154,226,1,156,0,47,8222,386411
3/1/2016,COLUMBUSOH,78876,424,186,1,238,0,88,8033,706907
4/1/2016,COLUMBUSOH,81895,401,204,1,206,0,88,6607,581372
5/1/2016,COLUMBUSOH,53371,379,141,1,136,0,50,6705,335256
6/1/2016,COLUMBUSOH,48656,278,175,1,153,0,56,7402,414520
7/1/2016,COLUMBUSOH,90199,373,242,1,199,0,59,6896,406845
8/1/2016,COLUMBUSOH,50047,417,120,1,178,0,54,6701,361858
9/1/2016,COLUMBUSOH,50366,272,185,1,163,0,53,7269,385273
10/1/2016,COLUMBUSOH,67783,295,230,1,207,0,61,8513,519289
11/1/2016,COLUMBUSOH,32040,493,65,2,135,0,33,7534,248619
12/1/2016,COLUMBUSOH,17454,436,40,1,47,0,16,4524,72391
1/1/2015,DAYTON,22852,408,56,1,55,0,18,6870,123652
2/1/2015,DAYTON,36196,393,92,1,86,0,40,5921,236834
3/1/2015,DAYTON,56238,436,129,1,115,0,41,7076,290133
4/1/2015,DAYTON,63766,339,188,1,195,0,90,6537,588365
5/1/2015,DAYTON,57424,368,156,1,156,0,60,7132,427936
6/1/2015,DAYTON,39835,289,138,1,146,0,57,7590,432654
7/1/2015,DAYTON,41690,271,154,1,156,0,66,5988,395217
8/1/2015,DAYTON,34931,265,132,1,123,0,54,5894,318268
9/1/2015,DAYTON,32551,223,146,1,149,0,58,5823,337736
10/1/2015,DAYTON,39056,223,175,1,172,0,68,6088,413970
11/1/2015,DAYTON,21194,249,85,1,100,0,35,4999,174964
12/1/2015,DAYTON,12661,243,52,1,48,0,22,4487,98704
1/1/2016,DAYTON,27146,339,80,1,80,0,32,7426,237637
2/1/2016,DAYTON,50371,406,124,1,125,0,54,5448,294211
3/1/2016,DAYTON,53370,310,172,1,147,0,56,5856,327935
4/1/2016,DAYTON,42452,221,192,1,212,0,98,6976,683652
5/1/2016,DAYTON,33663,288,117,1,117,1,58,6804,394652
6/1/2016,DAYTON,23371,178,131,1,125,0,52,6683,347532
7/1/2016,DAYTON,45377,307,148,1,147,0,70,5764,403470
8/1/2016,DAYTON,34191,263,130,1,141,0,48,7597,364663
9/1/2016,DAYTON,33414,193,173,1,159,0,59,6552,386544
10/1/2016,DAYTON,42765,230,186,1,202,0,75,5879,440952
11/1/2016,DAYTON,19683,270,73,1,78,0,30,5989,179670
12/1/2016,DAYTON,12985,419,31,1,36,0,9,5159,46429
